date,a,b,c,risk_free_rate
2019-01-31,0.3418,0.0687,0.0,0.01964
2019-02-28,0.4458,0.0683,0.0,0.01928
2019-03-31,0.4245,0.0616,0.0119,0.01882
2019-04-30,0.4358,0.0601,0.0,0.0188
2019-05-31,0.1119,0.0661,0.0534,0.01857
2019-06-30,0.3199,0.0623,0.0519,0.01876
2019-07-31,0.3251,0.0603,0.0464,0.01851
2019-08-31,0.0984,0.0675,0.1075,0.01588
2019-09-30,0.073,0.0695,0.0937,0.01555
2019-10-31,0.0953,0.0707,0.0893,0.0164
2019-11-30,0.2445,0.0687,0.0806,0.01266
2019-12-31,0.2924,0.0549,0.0462,0.01304
2020-01-31,0.2132,0.071,0.0977,0.01405
2020-02-29,0.2289,0.0709,0.1039,0.01222
2020-03-31,0.2894,0.098,0.1011,0.01237
2020-04-30,0.2324,0.0998,0.1277,0.0081
2020-05-31,0.3163,0.101,0.1256,0.00751
2020-06-30,0.3956,0.1009,0.1252,0.00459
2020-07-31,0.4371,0.1,0.1392,0.00476
2020-08-31,0.5931,0.0963,0.1091,0.00554
2020-09-30,0.5533,0.0966,0.1064,0.00555
2020-10-31,0.5559,0.0961,0.0895,0.0051
2020-11-30,0.6906,0.0941,0.081,0.00499
2020-12-31,0.7749,0.091,0.063,0.00575
2021-01-31,0.8528,0.0902,0.0421,0.00651
2021-02-28,0.8606,0.0859,0.0072,0.00463
2021-03-31,0.7851,0.0857,0.0,0.00557
2021-04-30,0.7695,0.0822,0.0,0.00477
2021-05-31,0.7117,0.0801,0.0,0.00552
2021-06-30,0.7792,0.0798,0.0,0.00449
2021-07-31,0.7182,0.0726,0.0,0.00636
2021-08-31,0.7109,0.0718,0.0,0.00357
2021-09-30,0.6523,0.0734,0.0,0.00854
2021-10-31,0.6828,0.0713,0.0,0.00796
2021-11-30,0.6032,0.0628,0.0,0.00621
2021-12-31,0.5366,0.0546,0.0,0.01012
2022-01-31,0.4272,0.0453,0.0,0.0109
2022-02-28,0.3945,0.0455,0.0,0.01162
2022-03-31,0.335,0.0716,0.0285,0.01401
2022-04-30,0.1696,0.1006,0.0585,0.01127
2022-05-31,0.1682,0.1019,0.0553,0.01479
2022-06-30,0.1404,0.104,0.0454,0.01728
2022-07-31,0.1666,0.1046,0.0553,0.01727
2022-08-31,0.1607,0.1057,0.0453,0.02298
2022-09-30,0.1548,0.108,0.0261,0.02486
2022-10-31,0.1923,0.1093,0.0248,0.02666
2022-11-30,0.2296,0.1108,0.0305,0.03019
2022-12-31,0.2121,0.1121,0.0234,0.03137
2023-01-31,0.1629,0.1133,0.0434,0.03189
2023-02-28,0.1703,0.1138,0.0351,0.03309
2023-03-31,0.1618,0.1139,0.0433,0.03348
2023-04-30,0.2022,0.1129,0.0386,0.03485
2023-05-31,0.1684,0.1135,0.0411,0.03507
2023-06-30,0.1852,0.1132,0.0455,0.03528
2023-07-31,0.215,0.1133,0.0437,0.03516
2023-08-31,0.1972,0.1134,0.0399,0.03466
2023-09-30,0.2027,0.1134,0.0277,0.03611
2023-10-31,0.2647,0.114,0.0138,0.0362
2023-11-30,0.2091,0.1154,0.0365,0.03482
2023-12-31,0.212,0.1157,0.0467,0.0361
