,date,intersection,slope
0,2019-02-28,0.012854456999999998,1.0
1,2019-03-31,0.052876146,1.0
2,2019-04-30,0.071816057,1.0
3,2019-05-31,0.07596603049999999,1.0
4,2019-06-30,0.06098798849999999,1.0
5,2019-07-31,0.056452205299999995,1.0
6,2019-08-31,0.0679314757,1.0
7,2019-09-30,0.0838824095,1.0
8,2019-10-31,0.072936853,1.0
9,2019-11-30,0.068013459,1.0
10,2019-12-31,0.053633782000000005,1.0
11,2020-01-31,0.23168121869536787,0.9999999999999967
12,2020-02-29,0.22797494699124152,1.0
13,2020-03-31,0.238763138918351,0.9999999999999972
14,2020-04-30,0.2451991796986814,0.9999999999999974
15,2020-05-31,0.246218406870883,0.9999999999999846
16,2020-06-30,0.2948519164168953,1.0
17,2020-07-31,0.3405338881937959,1.0000000000000002
18,2020-08-31,0.3840326215349486,0.9999999999999846
19,2020-09-30,0.465521241558103,0.9999999999999999
20,2020-10-31,0.4372712121821781,1.0
21,2020-11-30,0.44145606836217627,1.0
22,2020-12-31,0.5052657200024627,0.9999999999999998
23,2021-01-31,0.40296323203965884,0.9999999999999982
24,2021-02-28,0.2525664391706645,0.9999999999999943
25,2021-03-31,0.1838278925875796,0.9999999999999996
26,2021-04-30,0.14465406009666265,1.0
27,2021-05-31,0.13010488277293694,0.9847168156474214
28,2021-06-30,0.1347024724959536,0.9948706767095975
29,2021-07-31,0.13694419040531727,0.9999999999999998
30,2021-08-31,0.0875997094,1.0
31,2021-09-30,0.12443799807034375,0.8929042687729172
32,2021-10-31,0.077987665,1.0
33,2021-11-30,0.078383954,1.0
34,2021-12-31,0.07519872999999999,1.0
35,2022-01-31,0.067973283,1.0
36,2022-02-28,0.05507794099999999,1.0
37,2022-03-31,0.042670215,1.0
38,2022-04-30,0.039254106,1.0
39,2022-05-31,0.028595895000000003,1.0
40,2022-06-30,0.02500649,1.0
41,2022-07-31,0.019700953,1.0
42,2022-08-31,0.018930393000000004,0.9999999999999998
43,2022-09-30,0.017056741,1.0
44,2022-10-31,0.011239186000000002,1.0
45,2022-11-30,0.009582738,1.0
46,2022-12-31,0.014095522999999999,1.0
47,2023-01-31,0.016033152000000002,1.0
48,2023-02-28,0.021040228999999997,1.0000000000000002
49,2023-03-31,0.017660654999999997,1.0
50,2023-04-30,0.018860362,1.0
51,2023-05-31,0.018260973000000003,1.0
52,2023-06-30,0.018280679,1.0
53,2023-07-31,0.018522575000000003,1.0
54,2023-08-31,0.019440035,1.0
55,2023-09-30,0.019975557999999997,1.0
56,2023-10-31,0.016385719,1.0
57,2023-11-30,0.014512009999999999,1.0
58,2023-12-31,0.020624856,1.0
