date,sigma_p,return_p
2019-01-31,0.30782736537343786,0.17870825529228657
2019-02-28,0.30269625641524783,0.23670729962294604
2019-03-31,0.11192009876532362,0.10763045509823742
2019-04-30,0.15123587868699406,0.1266838845904209
2019-05-31,0.07877159118609518,0.07217858296442976
2019-06-30,0.08644950732248581,0.10483972660563992
2019-07-31,0.08812849354553311,0.10344240001740963
2019-08-31,0.07611275159709432,0.1230262919356785
2019-09-30,0.07335030275946625,0.09900775979696674
2019-10-31,0.07386785553598543,0.09385494811791449
2019-11-30,0.08108768102360077,0.10807464630266315
2019-12-31,0.07810992975083772,0.09231749366766122
2020-01-31,0.0784274504324286,0.11469777952061756
2020-02-29,0.08962468202160052,0.14624583240740202
2020-03-31,0.12456683860317332,0.1533840801404202
2020-04-30,0.12607403546877569,0.17888593645577286
2020-05-31,0.12803557414420882,0.1861948526714999
2020-06-30,0.1296757562042905,0.1994394793530571
2020-07-31,0.1289259764713079,0.21924640443425056
2020-08-31,0.13446366528235262,0.22962506881422434
2020-09-30,0.1337740520296722,0.21831791633677633
2020-10-31,0.1358239335334975,0.20533585274324506
2020-11-30,0.14175338482370967,0.2356013903681814
2020-12-31,0.14549860743733606,0.24728043287234852
2021-01-31,0.15138286248153357,0.2562642467290653
2021-02-28,0.16087815237755881,0.2447067693884741
2021-03-31,0.17656250082802266,0.2319070175179148
2021-04-30,0.17210355686331674,0.22577583301800486
2021-05-31,0.16068238574601076,0.19719161265473312
2021-06-30,0.1629539988896439,0.22045528472807663
2021-07-31,0.1382174905807003,0.18373829830450306
2021-08-31,0.13198487993040967,0.1746707170552611
2021-09-30,0.1408599008147436,0.16839619257956823
2021-10-31,0.13315282995743813,0.1700673117671838
2021-11-30,0.11852700063132385,0.14553790178462053
2021-12-31,0.1109352645167802,0.1316726236336833
2022-01-31,0.10683438876891249,0.10986503358999936
2022-02-28,0.10800808338731253,0.10237198231645038
2022-03-31,0.11136133300662744,0.09943018541080398
2022-04-30,0.12359331428471054,0.08258481093620722
2022-05-31,0.13601347429084495,0.08579365413633233
2022-06-30,0.15283253480881703,0.07687408139908611
2022-07-31,0.14053398270567738,0.08571450274927848
2022-08-31,0.1974342681558498,0.0986801477475625
2022-09-30,0.21696569453566453,0.08382967337735558
2022-10-31,0.21816960521894188,0.0989735929718385
2022-11-30,0.21925753018917363,0.10859425763796213
2022-12-31,0.21868377245655626,0.09487767898242466
2023-01-31,0.21798132190677696,0.10543249398819148
2023-02-28,0.21716882297312667,0.09891661204156323
2023-03-31,0.21653438189608817,0.1040456843921419
2023-04-30,0.21543763729447366,0.10540147396638269
2023-05-31,0.21428142317819296,0.10428310431547254
2023-06-30,0.21310153751132752,0.11423588231424128
2023-07-31,0.21179330063950122,0.1181662520354603
2023-08-31,0.2106464390863256,0.11321605493243866
2023-09-30,0.20962805341463886,0.1030284885048993
2023-10-31,0.20874973013271217,0.09781015914374078
2023-11-30,0.20779047351783095,0.11100931478340767
2023-12-31,0.20714408875444426,0.11700464676059318
