date,alpha_x,alpha_y,slope
2019-02-28,0.2183114137120308,0.2183114137119586,0.35050429194467947
2019-03-31,0.526030225804602,0.5260302258046022,0.5098263036348587
2019-04-30,0.6451029256817015,0.6451029256817016,0.5487821929553752
2019-05-31,0.44105497768363916,0.4410549776836124,0.45545580610036324
2019-06-30,0.820541902674896,0.8205419026748962,0.70216811424758
2019-07-31,0.8618363052602928,0.8618363052603384,0.7285344918530601
2019-08-31,1.0995325848568873,1.0995325848568873,0.8674371811686021
2019-09-30,1.329474949917674,1.3294749499177518,1.0778094703092909
2019-10-31,1.348673165342237,1.348673165342237,1.126513992086968
2019-11-30,1.282228466899716,1.2822284668997161,1.0944799661408715
2019-12-31,1.3450482957645777,1.3450482957645775,1.1424783016175104
2020-01-31,1.354575199777392,1.3545751997774258,1.134291954394926
2020-02-29,1.2298855680637308,1.229885568063801,1.1732277609871316
2020-03-31,1.30326775748473,1.3032677574847384,1.2620771067990482
2020-04-30,1.0526948692286744,1.0526948692286906,1.2235823994109951
2020-05-31,1.1168520935834527,1.1168520935834545,1.3068240554498822
2020-06-30,1.1564072521631672,1.1564072521631705,1.3782242683081758
2020-07-31,1.2207078302325884,1.2207078302325882,1.4720217245203944
2020-08-31,1.257673626106845,1.2576736261068455,1.547839052470044
2020-09-30,1.256606529108893,1.256606529108893,1.5894661749141377
2020-10-31,1.1621402607745626,1.1621402607745621,1.5514576021537336
2020-11-30,1.060885743346629,1.0608857433466292,1.4954215913407134
2020-12-31,1.0261382880810106,1.0261382880810106,1.4942105344927203
2021-01-31,0.9768044745423562,0.9768044745423562,1.4706610466519463
2021-02-28,0.9025034689285276,0.9025034689285277,1.4264048070346482
2021-03-31,0.8360895008743288,0.8360895008743262,1.362632451370815
2021-04-30,0.7310506958781909,0.7310506958781963,1.251319093838091
2021-05-31,0.7035430821738192,0.703543082173841,1.1966845993489779
2021-06-30,0.6759861827163723,0.6759861827163722,1.1386180729949338
2021-07-31,0.7159439076147195,0.7159439076147032,1.1576607978159013
2021-08-31,0.7477369744354864,0.7477369744354826,1.130432292160441
2021-09-30,0.8075258915982955,0.807525891598295,1.1414352646322758
2021-10-31,0.738539175923331,0.7385391759233302,1.059390837682628
2021-11-30,0.7673214406853802,0.7673214406853802,1.0369752605866716
2021-12-31,0.8265229042688218,0.8265229042688218,0.9951566719073944
2022-01-31,0.7652334583596372,0.7652334583596374,0.8806553354748975
2022-02-28,0.6806854587681164,0.6806854587681401,0.7383786147821279
2022-03-31,0.5888641809638201,0.5888641809638197,0.6269789672146957
2022-04-30,0.47786671550779164,0.4778667155077771,0.568214289006343
2022-05-31,0.4217819494963603,0.42178194949632775,0.5389961513310083
2022-06-30,0.3593928713524945,0.3593928713525007,0.46508455329053533
2022-07-31,0.26764489520870444,0.26764489520870416,0.38490074744723207
2022-08-31,0.22835800731574826,0.2283580073157483,0.3635532181335475
2022-09-30,0.17339202825948113,0.17339202825945124,0.32892634544958305
2022-10-31,0.1347630147974051,0.13476301479740618,0.2999130199565427
2022-11-30,0.12826501853712277,0.12826501853712333,0.2992247861817278
2022-12-31,0.13714142471869756,0.1371414247186977,0.31356948543402363
2023-01-31,0.14269960048973065,0.14269960048973063,0.3177676178058456
2023-02-28,0.16438334500950735,0.16438334500945206,0.3287023053936155
2023-03-31,0.16954303813660093,0.16954303813658822,0.33208801877158795
2023-04-30,0.17489410208451012,0.1748941020845076,0.3341302403685495
2023-05-31,0.16557916623201,0.16557916623195193,0.33179671095156116
2023-06-30,0.1507648344462359,0.15076483444623584,0.31842635747783493
2023-07-31,0.14202999294693905,0.14202999294693933,0.31602871846140035
2023-08-31,0.13879116206349226,0.13879116206349235,0.32056603749504375
2023-09-30,0.1355502904199628,0.13555029041996314,0.31757801571191446
2023-10-31,0.1271350025910231,0.1271350025910226,0.3109774745956639
2023-11-30,0.12486237879346092,0.12486237879345834,0.31546888630719794
2023-12-31,0.13886147109430882,0.1388614710943088,0.318832085665756
