date,omega_x,omega_y,slope
2019-02-28,0.20393373066402043,0.2039337306640188,0.29883410140927186
2019-03-31,0.5994866704921092,0.5994866704920898,0.5827551712216158
2019-04-30,0.5709899009410336,0.5709899009410335,0.5357781207147028
2019-05-31,0.5327114161931931,0.532711416193193,0.5572817177422374
2019-06-30,0.998061299734934,0.9980612997349436,0.7683452161743991
2019-07-31,1.1619719210425374,1.1619719210425374,0.9076764902352978
2019-08-31,1.1385311155397602,1.1385311155397677,0.8870719927415927
2019-09-30,1.48398299554289,1.48398299554289,1.099593743634941
2019-10-31,1.5089092555650527,1.5089092555651467,1.171439429343904
2019-11-30,1.4409223324586757,1.4409223324584837,1.1423132511145453
2019-12-31,1.4945924118192322,1.4945924118192828,1.19301796012978
2020-01-31,1.5514689039720084,1.551468903972026,1.2364645206867855
2020-02-29,1.4150169026248416,1.4150169026247499,1.2871345844804811
2020-03-31,1.466115919903324,1.4661159199030906,1.3544990677522486
2020-04-30,1.1312150779532153,1.1312150779532226,1.284489324842241
2020-05-31,1.16570995576443,1.1657099557644472,1.3375394291491065
2020-06-30,1.176016810259572,1.176016810259572,1.403446578582421
2020-07-31,1.2272829734602628,1.227282973460263,1.498658979858095
2020-08-31,1.268498195411345,1.2684981954113452,1.5894773913637168
2020-09-30,1.269728484963144,1.2697284849631438,1.6443086733183059
2020-10-31,1.185096704593387,1.185096704593387,1.6073505367560494
2020-11-30,1.0757429841264134,1.0757429841264177,1.5443283541279986
2020-12-31,1.0355113892675494,1.0355113892675492,1.542227513998845
2021-01-31,0.9820518763876425,0.9820518763876426,1.5186145276542253
2021-02-28,0.9084431828193523,0.908443182819352,1.4782786896016604
2021-03-31,0.8502349890940855,0.8502349890940746,1.4134139863769604
2021-04-30,0.7556974449468908,0.7556974449468921,1.3097941246774794
2021-05-31,0.751798055899889,0.7517980558998927,1.266517654758185
2021-06-30,0.7367418036205704,0.736741803620582,1.2231831519443845
2021-07-31,0.7886026367143477,0.7886026367143394,1.2625732823289588
2021-08-31,0.84445349721262,0.8444534972126257,1.2480093369288927
2021-09-30,0.9012657682333236,0.9012657682333274,1.2702104545653814
2021-10-31,0.8282761856971992,0.8282761856972347,1.1836263912958622
2021-11-30,0.8520990923584439,0.8520990923584434,1.1310492585941523
2021-12-31,0.898249387223458,0.898249387223458,1.0561448428818894
2022-01-31,0.8258237889553911,0.825823788955391,0.9398122372429701
2022-02-28,0.7392798956669271,0.7392798956669321,0.7780502936251078
2022-03-31,0.6332498907286234,0.6332498907286221,0.6769500285849585
2022-04-30,0.46517310913714416,0.46517310913714416,0.604117287554878
2022-05-31,0.38638492359178944,0.38638492359178933,0.5181927560805216
2022-06-30,0.34468014444302814,0.34468014444302686,0.44625931245972433
2022-07-31,0.27992893611685277,0.2799289361168527,0.3963743027837801
2022-08-31,0.2381948276698354,0.23819482766982264,0.35985061740386803
2022-09-30,0.1795627887640953,0.17956278876409465,0.3246958894059975
2022-10-31,0.13167862021128784,0.13167862021129237,0.28337982086348446
2022-11-30,0.11775360856154395,0.11775360856154385,0.27392715799840817
2022-12-31,0.12085752362288558,0.12085752362288799,0.2855107765178707
2023-01-31,0.12233976693825249,0.1223397669382555,0.2862339244873074
2023-02-28,0.13931046044914974,0.1393104604491512,0.2936123949734711
2023-03-31,0.1556672280570166,0.15566722805698366,0.31048301934979494
2023-04-30,0.17422419426750202,0.17422419426750194,0.32349393584423364
2023-05-31,0.1780742718840041,0.1780742718840038,0.3337753499954305
2023-06-30,0.16186388569687127,0.1618638856968553,0.32024588709498153
2023-07-31,0.14585810528114854,0.14585810528114904,0.3133462140460889
2023-08-31,0.13701848979207787,0.1370184897920783,0.31509497994701613
2023-09-30,0.12849922782874929,0.1284992278287497,0.3070894115471682
2023-10-31,0.12094607661143413,0.1209460766114327,0.3024881981445909
2023-11-30,0.12109873656968001,0.12109873656967701,0.30732087972022226
2023-12-31,0.13187347183024614,0.13187347183024672,0.30460376519186033
