,ARKK,TLT,^GSPC
2019-02-28,0.11708259605830196,-0.000986451121195775,0.05319510841511055
2019-03-31,0.0036511531448257806,0.055716552791266194,0.01792425624958849
2019-04-30,-0.004427527483807259,-0.005789082222824815,0.0274275992612405
2019-05-31,-0.13744170658983546,0.06839203394316695,-0.0657777313668354
2019-06-30,0.14757231538834237,0.02213956236680148,0.05482523197805578
2019-07-31,0.011268843372980841,0.004915235463659018,0.005414310911574294
2019-08-31,-0.08543128639579067,0.11049130905417837,-0.018091627240523933
2019-09-30,-0.03226532711458785,-0.026799050948112635,0.017181177931020697
2019-10-31,0.031242654860777375,-0.011131867663140005,0.020431770513684056
2019-11-30,0.13657877510389538,0.00936421172533386,0.030921257703590665
2019-12-31,0.02604850253159241,-0.018893687480335708,0.037544890348532034
2020-01-31,0.03496504377371523,0.0769116560503822,-0.0016280928190489652
2020-02-29,-0.00018915004899855425,0.0761489187508273,-0.09750716110551982
2020-03-31,-0.1863905385801896,0.07165125224813029,-0.1636253274914593
2020-04-30,0.24058302178190427,0.003973279008580022,0.10880019794106355
2020-05-31,0.13536958774604013,-0.01761926489677834,0.04528181966555822
2020-06-30,0.10046282890532332,0.010167570680932103,0.014582459470752873
2020-07-31,0.12705099743965143,0.04435152321874103,0.055101321480443666
2020-08-31,0.18613907267819751,-0.05046525002899194,0.07006466690171775
2020-09-30,-0.03493128897121767,0.007733754900621559,-0.039227970178423055
2020-10-31,-0.013152086829470777,-0.03385193148462162,-0.027665786221379718
2020-11-30,0.23769130100524682,0.016638919732584245,0.10754563544385909
2020-12-31,0.12558282439204072,-0.01227612328967631,0.03712145909357001
2021-01-31,0.10402444307522529,-0.03632788047733415,-0.011136660755445171
2021-02-28,-0.07131157496438911,-0.06300137305313669,0.0062761117888174844
2021-03-31,-0.12253107378998107,-0.03977037873938405,0.018214531417035218
2021-04-30,0.05549730134784148,0.019232128683268623,0.05623773106336705
2021-05-31,-0.07178931314712567,2.1340810769876484e-05,0.00548648867060697
2021-06-30,0.1755506318139386,0.04442564819818551,0.022717527688955075
2021-07-31,-0.08242853321613719,0.037166085679870564,0.02274805482838871
2021-08-31,0.0075131147620770555,-0.012212252081440611,0.030890146405570862
2021-09-30,-0.09984524206361012,-0.03567917142894972,-0.048854108512789596
2021-10-31,0.09725868050121811,0.02465016656229113,0.0691438364006065
2021-11-30,-0.1552909374925996,0.0351679228165378,-0.010115574513408943
2021-12-31,-0.09763578810292373,-0.02013762524904772,0.04361291346206486
2022-01-31,-0.20255837128810028,-0.039139267627084084,-0.052585165027393854
2022-02-28,0.022638205349994056,-0.021415555400965958,-0.013066812950335405
2022-03-31,-0.05931607317661347,-0.05444408366200637,0.03577328837154625
2022-04-30,-0.3137740377533822,-0.09203890942383774,-0.1022325065050057
2022-05-31,-0.12048672754124301,-0.0052909698917407155,-0.005590338578870702
2022-06-30,-0.09548647810415589,-0.012745651399564517,-0.08391999993382682
2022-07-31,0.13164491301319647,0.024310069632631714,0.09111639173021002
2022-08-31,-0.08338797079985205,-0.06797721281513602,-0.039729203028256
2022-09-30,-0.09973761856634078,-0.09112445995730778,-0.10048262080632875
2022-10-31,0.014577289494996704,-0.0596444915683938,0.0798634138370089
2022-11-30,-0.020898574389248248,0.07151082847640211,0.053752893352493114
2022-12-31,-0.1664888117123594,-0.026200332393096826,-0.05897147407473047
2023-01-31,0.31089964419138916,0.05627837166508454,0.06601751300157677
2023-02-28,0.02882376554798216,-0.04089844652366448,-0.011852375062785692
2023-03-31,0.018172678062061243,0.048393495238204576,0.03505161257710898
2023-04-30,-0.0665280536432401,0.018415229940238698,0.029290268921541518
2023-05-31,0.13290427622469791,-0.00135763458927185,0.002869561814841548
2023-06-30,0.10876659562715174,0.010907065229699198,0.05822344493524545
2023-07-31,0.14295427043779285,-0.02544267340184292,0.031138932355010862
2023-08-31,-0.13280481484062479,-0.03142081671863006,-0.017716390070854016
2023-09-30,-0.0827599656257213,-0.07539721192044135,-0.05023850224096715
2023-10-31,-0.10143440039976148,-0.03853664831073267,-0.02205730565914077
2023-11-30,0.3447068935326809,0.09387276144629464,0.09623165804725686
2023-12-31,0.1357622693270546,0.08685757909719305,0.04422923115636013
