,date,tangent_x,tangent_y,slope
0,2019-02-28,3.6924951425939985,0.5748972070000001,0.1515629934199036
1,2019-03-31,3.7775188924041654,0.4767050420000001,0.12379405936005225
2,2019-04-30,3.681627552982534,0.38027779899999997,0.10097956831587294
3,2019-05-31,2.6922793047789444,0.21507339099999997,0.07430879520742234
4,2019-06-30,1.7117645696620456,0.120109947,0.06249001024779872
5,2019-07-31,3.6517121343975205,0.29904208460000004,0.07996943711670197
6,2019-08-31,3.8326866655596343,0.2680126014,0.06906433794304163
7,2019-09-30,4.941678895230557,0.12665083699999993,0.026046066373156127
8,2019-10-31,5.131054489531041,0.18622139399999932,0.03757093622633084
9,2019-11-30,4.895251590944023,0.2428723439999998,0.05126076654859091
10,2019-12-31,3.4953698897913887,0.4675119039999999,0.1291129580643422
11,2020-01-31,3.7301041266007524,0.8075203160000001,0.21197252601110286
12,2020-02-29,3.706525884010999,0.8430155260000001,0.22232165855220418
13,2020-03-31,3.7184025790903656,0.847959979,0.22309428534307177
14,2020-04-30,3.7081801352836137,0.8514904489999998,0.2244364865344781
15,2020-05-31,3.676918000724245,0.8974434050000001,0.2379853221713512
16,2020-06-30,3.719673584214179,1.0185951659999999,0.2676418466461536
17,2020-07-31,3.766977670059307,1.10968267,0.28874308006791966
18,2020-08-31,3.8088048818112346,1.1894500640000003,0.3069013108500665
19,2020-09-30,3.855957143919862,1.33324001,0.3407534033597411
20,2020-10-31,3.8670359774830834,1.288854584,0.32868269351537477
21,2020-11-30,3.864274312109074,1.3207057490000003,0.3369875766633318
22,2020-12-31,3.8973194390927937,1.41821474,0.3594935416241207
23,2021-01-31,3.945378502553141,1.236629646,0.3105749355117787
24,2021-02-28,4.2410644942607085,0.8905245100000001,0.21148611585930385
25,2021-03-31,4.138046542513149,0.7132415066,0.17259906396950112
26,2021-04-30,4.033236266053496,0.6127833971999999,0.15128573323006678
27,2021-05-31,3.998780603988023,0.654148901,0.1625894393534843
28,2021-06-30,3.904273030945814,0.737076512,0.18660153432545923
29,2021-07-31,3.7664969739523357,0.492077557,0.12831644399088693
30,2021-08-31,3.8930593810410974,0.5145560828,0.1306384019408388
31,2021-09-30,3.8057159943518135,0.59107873,0.1526656326594743
32,2021-10-31,3.682085744647331,0.51550795,0.13666125937765097
33,2021-11-30,3.7155719016079263,0.504873288,0.13291579199053616
34,2021-12-31,3.6524332918833933,0.4438595099999999,0.11847488384294765
35,2022-01-31,3.5578035765838694,0.403521116,0.10993272691449273
36,2022-02-28,3.401312381807989,0.35878983199999526,0.10115764868885796
37,2022-03-31,3.4384864994909146,0.38146803699999227,0.10645829176708667
38,2022-04-30,3.422522163075686,0.37264250199999355,0.10432523179897304
39,2022-05-31,3.413004166216255,0.34779352999999424,0.09748170491360407
40,2022-06-30,3.3901565468915744,0.34426044999999544,0.09692523205197716
41,2022-07-31,3.3181566752226326,0.32357544599999793,0.092507717098501
42,2022-08-31,3.3906164171338395,0.3544615259999953,0.09966749918755433
43,2022-09-30,3.3576330296876677,0.3514959639999968,0.09951708958232376
44,2022-10-31,3.2590846155085518,0.34356130499999893,0.0993303403230248
45,2022-11-30,3.279121026384928,0.3737166859999985,0.10749887886529602
46,2022-12-31,3.331640013147848,0.3982100729999973,0.11325947026415789
47,2023-01-31,3.2893673918143573,0.3789152619999984,0.1088285160516973
48,2023-02-28,3.269514342299387,0.34945730799999875,0.10093058248153158
49,2023-03-31,3.285007628300085,0.36300725499999853,0.10441146378021933
50,2023-04-30,3.2871920402421964,0.3642385239999985,0.1047340106039659
51,2023-05-31,3.339499807213485,0.38684875599999713,0.10991463997306708
52,2023-06-30,3.3147292719845387,0.3755111479999979,0.10729191672026746
53,2023-07-31,3.3628342947941325,0.39276859699999633,0.11102188995097426
54,2023-08-31,3.406051114836066,0.4142121819999941,0.11597443951424852
55,2023-09-30,3.3814733178890535,0.39868044099999556,0.1122441457668922
56,2023-10-31,3.3539672583178057,0.40095339199999663,0.11351364985922631
57,2023-11-30,3.357254581654864,0.4265760899999963,0.12062477245928091
58,2023-12-31,3.3440450731977345,0.39700002599999706,0.11269404202127917
